Country Name,Country Code,Series Name,Series Code,Scale (Precision),2019Q2 [YR2019Q2],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4],2020Q1 [YR2020Q1],2020Q2 [YR2020Q2]
Argentina,ARG,"Gross Ext. Debt Pos., General Government, All maturities, All instruments, USD",DT.DOD.DECT.CD.GG.AR.US,Millions (0),175969,171928,172898,170282,167275
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Short-term, All instruments, USD",DT.DOD.DSTC.CD.GG.AR.US,Millions (0),8785,6969,7182,4182,3412
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.GG.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.GG.AR.US,Millions (0),8785,6927,7140,4140,3370
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Short-term, Loans, USD",DT.DOD.DSTL.CD.GG.AR.US,Millions (0),,42,42,42,42
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.GG.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Short-term, Other debt liabilities, USD",DT.DOD.DSOO.CD.GG.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, All instruments, USD",DT.DOD.DLXF.CD.GG.AR.US,Millions (0),167184,164959,165716,166100,163863
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, Special drawing rights (allocations), USD",DT.DOD.DLTS.CD.GG.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.GG.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.GG.AR.US,Millions (0),96101,91933,91740,93052,89664
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, Loans, USD",DT.DOD.DLTL.CD.GG.AR.US,Millions (0),71084,73025,73976,73047,74200
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.GG.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, Other debt liabilities, USD",DT.DOD.DLTO.CD.GG.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, USD",DT.DOD.DECT.CD.MA.AR.US,Millions (0),23778,22987,24503,23159,23721
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Short-term, All instruments, USD",DT.DOD.DSTC.CD.MA.AR.US,Millions (0),21432,20686,22170,20856,21400
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.MA.AR.US,Millions (0),0,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Short-term, Loans, USD",DT.DOD.DSTL.CD.MA.AR.US,Millions (0),21432,20686,22170,20856,21400
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Short-term, Other debt liabilities, USD",DT.DOD.DSOO.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, All instruments, USD",DT.DOD.DLXF.CD.MA.AR.US,Millions (0),2346,2301,2333,2303,2321
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, Special drawing rights (allocations), USD",DT.DOD.DLTS.CD.MA.AR.US,Millions (0),2346,2301,2333,2303,2321
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, Loans, USD",DT.DOD.DLTL.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, Other debt liabilities, USD",DT.DOD.DLTO.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, All maturities, All instruments, USD",DT.DOD.DECT.CD.CB.AR.US,Millions (0),5185,4997,4819,4412,3821
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, All instruments, USD",DT.DOD.DSTC.CD.CB.AR.US,Millions (0),3332,3304,3205,2877,1828
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.CB.AR.US,Millions (0),698,892,1132,1044,882
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.CB.AR.US,Millions (0),189,171,167,162,98
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Loans, USD",DT.DOD.DSTL.CD.CB.AR.US,Millions (0),2137,2060,1755,1523,766
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.CB.AR.US,Millions (0),6,12,58,48,26
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Other debt liabilities, USD",DT.DOD.DSOO.CD.CB.AR.US,Millions (0),301,168,93,101,56
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, All instruments, USD",DT.DOD.DLXF.CD.CB.AR.US,Millions (0),1853,1693,1614,1535,1993
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.CB.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.CB.AR.US,Millions (0),1509,1361,1331,1290,1322
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Loans, USD",DT.DOD.DLTL.CD.CB.AR.US,Millions (0),345,332,283,246,671
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.CB.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Other debt liabilities, USD",DT.DOD.DLTO.CD.CB.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.OT.AR.US,Millions (0),54468,53827,53336,53970,53171
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Short-term, All instruments, USD",DT.DOD.DSTC.CD.OT.AR.US,Millions (0),33025,32918,32552,32917,25131
